Company Name,Headquarters,Size,Type of ownership,Industry,Sector
GoHealth,"Chicago, IL",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care
Thrivent,"Minneapolis, MN",5001 to 10000 employees,Nonprofit Organization,Insurance Carriers,Insurance
Fetch Rewards,"Madison, WI",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
HNI,"Muscatine, IA",5001 to 10000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing
Sutoer,"Hinsdale, IL",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Photon Infotech,"Chennai, India",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Nordstrom,"Seattle, WA",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail
Triplebyte,"San Francisco, CA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Goby Inc,"New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology
Mike's Hard Lemonade,"Chicago, IL",201 to 500 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing
Hewlett Packard Enterprise,"Palo Alto, CA",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
Green Key Technologies,"Chicago, IL",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Capax Global,"Chicago, IL",51 to 200 employees,Subsidiary or Business Segment,IT Services,Information Technology
CreditNinja,"Chicago, IL",1 to 50 employees,Company - Private,Lending,Finance
Fisec Global,"San Francisco, CA",1 to 50 employees,Company - Private,IT Services,Information Technology
5thColumn,"Chicago, IL",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Saggezza,"Chicago, IL",501 to 1000 employees,Company - Private,IT Services,Information Technology
STATS PERFORM,"Chicago, IL",1001 to 5000 employees,Company - Private,TV Broadcast & Cable Networks,Media
SEI,"Cincinnati, OH",201 to 500 employees,Company - Private,Consulting,Business Services
Care Advisors Inc,"Chicago, IL",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
iManage,"Chicago, IL",501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology
BCforward,"Indianapolis, IN",1001 to 5000 employees,Company - Private,IT Services,Information Technology
DW Simpson,"Chicago, IL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Argonne National Laboratory,"Lemont, IL",1001 to 5000 employees,Nonprofit Organization,Federal Agencies,Government
Group O,"Milan, IL",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Caterpillar,"Deerfield, IL",10000+ employees,Company - Public,Industrial Manufacturing,Manufacturing
Civis Analytics,"Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
MessageControl,"Chicago, IL",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
DRW Trading Group,"Chicago, IL",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
"Smart Synergies, Inc.","McLean, VA",1 to 50 employees,Company - Private,Consulting,Business Services
STATS LLC,"Chicago, IL",501 to 1000 employees,Company - Private,News Outlet,Media
BMO Financial Group,"Toronto, Canada",10000+ employees,Company - Public,Banks & Credit Unions,Finance
Nuveen,"Chicago, IL",1001 to 5000 employees,Company - Private,Investment Banking & Asset Management,Finance
Unicom Technologies INC,"Naperville, IL",51 to 200 employees,Company - Private,IT Services,Information Technology
CVS Health,"Woonsocket, RI",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
Alcatraz Cruises,"San Francisco, CA",51 to 200 employees,Company - Public,Cruise Ships,Travel & Tourism
Nielsen,"New York, NY",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
Circle Logistics,"Fort Wayne, IN",201 to 500 employees,Company - Private,Transportation Management,Transportation & Logistics
Maven Wave Partners,"Chicago, IL",201 to 500 employees,Company - Private,Consulting,Business Services
Tempus,"Washington, DC",51 to 200 employees,Company - Private,Financial Transaction Processing,Finance
Underwriters Laboratories,"Northbrook, IL",10000+ employees,Company - Private,Consulting,Business Services
1-800-Flowers.com,"Carle Place, NY",1001 to 5000 employees,Company - Public,Wholesale,Business Services
Kraken Digital Asset Exchange,"San Francisco, CA",501 to 1000 employees,Company - Private,Internet,Information Technology
"Sunrise Futures, LLC","Chicago, IL",51 to 200 employees,Company - Private,Financial Analytics & Research,Finance
Spectrum Communications and Consulting,"Chicago, IL",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
University of Chicago,"Chicago, IL",10000+ employees,College / University,Colleges & Universities,Education
Medix,"Chicago, IL",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Tempus Labs,"Chicago, IL",501 to 1000 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Akuna Capital,"Chicago, IL",201 to 500 employees,Company - Private,Financial Analytics & Research,Finance
TreeHouse Foods,"Oak Brook, IL",10000+ employees,Company - Public,Food & Beverage Manufacturing,Manufacturing
Strive Consulting,"Chicago, IL",501 to 1000 employees,Company - Private,Consulting,Business Services
BMO,"Chicago, IL",10000+ employees,Subsidiary or Business Segment,Banks & Credit Unions,Finance
Old Mission Capital,"Chicago, IL",51 to 200 employees,Private Practice / Firm,Brokerage Services,Finance
The University of Chicago,"Chicago, IL",10000+ employees,College / University,Colleges & Universities,Education
Peterson Technology Partners,"Park Ridge, IL",201 to 500 employees,Contract,Computer Hardware & Software,Information Technology
Axiom Group,"Aurora, Canada",51 to 200 employees,Company - Private,Transportation Equipment Manufacturing,Manufacturing
Morningstar,"Chicago, IL",5001 to 10000 employees,Company - Public,Financial Analytics & Research,Finance
Aon,"London, United Kingdom",10000+ employees,Company - Public,Insurance Agencies & Brokerages,Insurance
Aerotek,"Hanover, MD",5001 to 10000 employees,Company - Private,Staffing & Outsourcing,Business Services
Kehe,"Naperville, IL",5001 to 10000 employees,Company - Private,Wholesale,Business Services
Ferrara Candy Company,"Chicago, IL",5001 to 10000 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing
VillageMD,"Chicago, IL",1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care
Ann & Robert H. Lurie Children's Hospital of Chicago,"Chicago, IL",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Alliant Credit Union,"Chicago, IL",501 to 1000 employees,Nonprofit Organization,Banks & Credit Unions,Finance
Kemper,"Chicago, IL",5001 to 10000 employees,Company - Public,Insurance Carriers,Insurance
Fooda,"Chicago, IL",201 to 500 employees,Company - Private,IT Services,Information Technology
"TEKsystems, Inc","Hanover, MD",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
MDLIVE Inc,"Miramar, FL",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care
Exelon,"Chicago, IL",10000+ employees,Company - Public,Energy,"Oil, Gas, Energy & Utilities"
ALERE,"Waltham, MA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
3Red Partners,"Chicago, IL",1 to 50 employees,Company - Private,Financial Analytics & Research,Finance
Numerator,"Chicago, IL",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Collaborative Solutions,"Reston, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology
Feeding America,"Chicago, IL",51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit
CRS Group,"Itasca, IL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Unitedhealth Group,"Minnetonka, MN",10000+ employees,Company - Public,Health Care Services & Hospitals,Health Care
"CTI Clinical Trial Services, Inc","Covington, KY",501 to 1000 employees,Company - Private,Health Care Services & Hospitals,Health Care
First Stop Health,"Chicago, IL",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care
Hornblower Cruises and Events,"San Francisco, CA",1001 to 5000 employees,Company - Private,Cruise Ships,Travel & Tourism
Belvedere Trading,"Chicago, IL",201 to 500 employees,Company - Private,Venture Capital & Private Equity,Finance
McKinsey & Company,"New York, NY",10000+ employees,Company - Private,Consulting,Business Services
UST Global,"Aliso Viejo, CA",10000+ employees,Company - Private,IT Services,Information Technology
Chicago Public Schools,"Chicago, IL",10000+ employees,School / School District,K-12 Education,Education
Diverse Lynx,"Princeton, NJ",501 to 1000 employees,Company - Private,IT Services,Information Technology
"Level Ex, Inc.","Chicago, IL",51 to 200 employees,Company - Private,Video Games,Media
Apervita,"Chicago, IL",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Riskonnect Inc,"Kennesaw, GA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Involgix,"Austin, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
PNC Financial Services Group,"Pittsburgh, PA",10000+ employees,Company - Public,Banks & Credit Unions,Finance
ServiceNow,"Santa Clara, CA",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
KeyBank,"Cleveland, OH",10000+ employees,Company - Public,Banks & Credit Unions,Finance
eTeam Inc.,"South Plainfield, NJ",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
TechUSA,"Millersville, MD",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Wavicle Data Solutions LLC,"Chicago, IL",51 to 200 employees,Private Practice / Firm,IT Services,Information Technology
CGN Global,"Chicago, IL",201 to 500 employees,Company - Private,Consulting,Business Services
SkySource Solutions,"Berea, OH",1 to 50 employees,Company - Public,Staffing & Outsourcing,Business Services
Maine Pointe,"Boston, MA",51 to 200 employees,Company - Private,Consulting,Business Services
Slalom,"Seattle, WA",5001 to 10000 employees,Company - Private,Consulting,Business Services
HR Pundits,"Rolling Meadows, IL",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
"Conch Technologies, Inc","Memphis, TN",51 to 200 employees,Company - Private,Consulting,Business Services
CultureFit Technology Staffing,"Deerfield, IL",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
TalentCraft,"Oak Brook, IL",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
22nd Century Technologies,"Somerset, NJ",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Brad's Deals,"St Thomas, VI",51 to 200 employees,Company - Private,Internet,Information Technology
Riskonnect,"Kennesaw, GA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Green Key Resources,"New York, NY",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Centro,"Chicago, IL",501 to 1000 employees,Company - Private,Internet,Information Technology
KeyBank National Association,"Cleveland, OH",10000+ employees,Company - Public,Banks & Credit Unions,Finance
"Relevante, Inc","Berwyn, PA",51 to 200 employees,Company - Private,Consulting,Business Services
Leap,"New Haven, CT",51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit
Concurrency,"Brookfield, WI",51 to 200 employees,Company - Private,IT Services,Information Technology
Sinai Health System,"Chicago, IL",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Integral Ad Science,"New York, NY",501 to 1000 employees,Company - Private,Internet,Information Technology
West Monroe Partners,"Chicago, IL",1001 to 5000 employees,Company - Private,Consulting,Business Services
Kani Solutions,"Princeton, NJ",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Chamberlain Group Inc,"Oak Brook, IL",1001 to 5000 employees,Company - Private,Consumer Products Manufacturing,Manufacturing
Collabera,"Basking Ridge, NJ",10000+ employees,Company - Private,IT Services,Information Technology
Old World Industries,"Northbrook, IL",201 to 500 employees,Company - Private,Chemical Manufacturing,Manufacturing
Quantlab,"Houston, TX",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance
BenchPrep,"Chicago, IL",51 to 200 employees,Company - Private,Education Training Services,Education
360pi,"Ottawa, Canada",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
TalentDash,"Singapore, Singapore",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Insight Enterprises, Inc.","Tempe, AZ",5001 to 10000 employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
Epsilon,"Irving, TX",5001 to 10000 employees,Subsidiary or Business Segment,Advertising & Marketing,Business Services
CYNET SYSTEMS,"Ashburn, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology
Pharmaceutical Product Development,"Wilmington, NC",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Conagra Brands,"Chicago, IL",10000+ employees,Company - Public,Food & Beverage Manufacturing,Manufacturing
Antuit,"Chicago, IL",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Reyes Beer Division,"Rosemont, IL",1001 to 5000 employees,Company - Private,Wholesale,Business Services
PeopleReady,"Tacoma, WA",5001 to 10000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Martin-Brower,"Rosemont, IL",10000+ employees,Subsidiary or Business Segment,Wholesale,Business Services
Northern Trust,"Chicago, IL",10000+ employees,Company - Public,Banks & Credit Unions,Finance
Smith Hanley Associates,"New York, 061",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Themesoft Inc,"Plano, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
VIVA USA INC,"Rolling Meadows, IL",51 to 200 employees,Company - Private,IT Services,Information Technology
"ServiceNow, Inc.","Santa Clara, CA",10000+ employees,Company - Public,Enterprise Software & Network Solutions,Information Technology
"Fast Switch, LTD","Dublin, OH",501 to 1000 employees,Company - Private,IT Services,Information Technology
Caris Life Sciences,"Irving, TX",201 to 500 employees,Company - Private,Research & Development,Business Services
Systems Evolution,"Cincinnati, OH",201 to 500 employees,Company - Private,Consulting,Business Services
MillerCoors,"Chicago, IL",5001 to 10000 employees,Subsidiary or Business Segment,Food & Beverage Manufacturing,Manufacturing
BankFinancial,"Burr Ridge, IL",201 to 500 employees,Company - Public,Banks & Credit Unions,Finance
University of Illinois at Chicago,"Chicago, IL",5001 to 10000 employees,College / University,Colleges & Universities,Education
Kelly Mitchell Group,"Saint Louis, MO",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
JLL,"Chicago, IL",10000+ employees,Company - Public,Real Estate,Real Estate
EY,"London, United Kingdom",10000+ employees,Company - Private,Accounting,Accounting & Legal
Open Systems Technologies (NYC),"New York, NY",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Wavicle Data,"Chicago, IL",51 to 200 employees,Private Practice / Firm,IT Services,Information Technology
Rush University Medical Center,"Chicago, IL",5001 to 10000 employees,Hospital,Health Care Services & Hospitals,Health Care
Flexport,"San Francisco, CA",1001 to 5000 employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics
MWRD of Greater Chicago,"Chicago, IL",1001 to 5000 employees,Government,Federal Agencies,Government
STATS,"Chicago, IL",501 to 1000 employees,Company - Private,News Outlet,Media
Signature Consultants,"Fort Lauderdale, FL",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
"ePromptus,Inc","Southfield, MI",1 to 50 employees,Company - Private,IT Services,Information Technology
PK,"Portland, OR",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Athletico,"Oak Brook, IL",1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care
Centric Consulting,"Dayton, OH",501 to 1000 employees,Company - Private,Consulting,Business Services
Marcel Media,"Chicago, IL",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Northwestern Memorial Healthcare,"Chicago, IL",5001 to 10000 employees,Hospital,Health Care Services & Hospitals,Health Care
Avanciers,"Mississauga, Canada",1 to 50 employees,Company - Private,IT Services,Information Technology
Metropolitan Family Services,"Chicago, IL",201 to 500 employees,Company - Private,Membership Organizations,Business Services
Kershner Trading Group,"Austin, TX",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance
Trianz,"Santa Clara, CA",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Epiq Systems,"New York, NY",5001 to 10000 employees,Company - Private,Legal,Accounting & Legal
"Veterans Affairs, Veterans Health Administration","Washington, DC",10000+ employees,Government,Federal Agencies,Government
Edgilent Corp.,"Schaumburg, IL",1 to 50 employees,Subsidiary or Business Segment,IT Services,Information Technology
OSF Healthcare System,"Peoria, IL",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
"Stampede Meat, Inc.","Bridgeview, IL",1001 to 5000 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing
Infinity Consulting Solutions,"New York, NY",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Infoway Software,"Sayreville, NJ",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
TECHNOCRAFT Solutions,"Hilliard, OH",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
Centene Corporation,"Saint Louis, MO",10000+ employees,Company - Public,Insurance Carriers,Insurance
The Accuro Group,"Raleigh, NC",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Foresight ROI,"Chicago, IL",1 to 50 employees,Company - Private,Advertising & Marketing,Business Services
PDI Software,"Atlanta, GA",501 to 1000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
WIN Home Inspection,"Seattle, WA",1 to 50 employees,Franchise,Construction,"Construction, Repair & Maintenance"
"PRIMUS Global Services, Inc","Irving, TX",501 to 1000 employees,Company - Private,Consulting,Business Services
Publicis Groupe,"Paris, France",10000+ employees,Company - Public,Advertising & Marketing,Business Services
RiverPoint,"Des Plaines, IL",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
LiveRamp,"San Francisco, CA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
SIMPLIFIED IT SOLUTIONS Inc,"Boulder, CO",1 to 50 employees,Company - Private,IT Services,Information Technology
Avani Technology Solutions,"Rochester, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology
HIMSS,"Chicago, IL",201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
BDO USA,"Chicago, IL",5001 to 10000 employees,Company - Private,Accounting,Accounting & Legal
Halliburton,"Houston, TX",10000+ employees,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities"
Sysco,"Houston, TX",10000+ employees,Company - Public,Wholesale,Business Services
AVANADE,"Seattle, WA",10000+ employees,Company - Private,IT Services,Information Technology
Aramco Services Company,"Houston, TX",201 to 500 employees,Company - Private,Utilities,"Oil, Gas, Energy & Utilities"
National Oilwell Varco,"Houston, TX",10000+ employees,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities"
Sercel,"CARQUEFOU, France",501 to 1000 employees,Company - Private,Utilities,"Oil, Gas, Energy & Utilities"
CGG,"Paris, France",5001 to 10000 employees,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities"
Alphascript Pharmacy,"San Carlos, CA",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
N.F. Smith & Associates,"Houston, TX",201 to 500 employees,Company - Private,Wholesale,Business Services
Tokio Marine HCC,"Houston, TX",1001 to 5000 employees,Company - Private,Insurance Carriers,Insurance
Infotree Service Inc,"Canton, MI",51 to 200 employees,Company - Private,Advertising & Marketing,Business Services
Dascena,"Hayward, CA",1 to 50 employees,Company - Private,IT Services,Information Technology
RiceTec,"Houston, TX",201 to 500 employees,Company - Private,Food & Beverage Manufacturing,Manufacturing
"Numeric, LLC","Chadds Ford, PA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
University of Houston,"Houston, TX",10000+ employees,College / University,Colleges & Universities,Education
Kinder Morgan,"Houston, TX",10000+ employees,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities"
Slalom LLC.,"Seattle, WA",5001 to 10000 employees,Company - Private,Consulting,Business Services
Trace3,"Irvine, CA",501 to 1000 employees,Company - Private,IT Services,Information Technology
Baylor College of Medicine,"Houston, TX",5001 to 10000 employees,College / University,Colleges & Universities,Education
KPISOFT,"San Francisco, CA",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Techwave Consulting Inc.,"Houston, TX",1001 to 5000 employees,Company - Private,IT Services,Information Technology
Sense Corp,"Saint Louis, MO",201 to 500 employees,Company - Private,Accounting,Accounting & Legal
Smith and Associates,"Clinton, MD",1 to 50 employees,Self-employed,Legal,Accounting & Legal
cPanel,"Houston, TX",201 to 500 employees,Company - Private,Computer Hardware & Software,Information Technology
"OraSure Technologies, Inc.","Bethlehem, PA",201 to 500 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Invesco,"Atlanta, GA",5001 to 10000 employees,Company - Public,Investment Banking & Asset Management,Finance
Genesys Talent,"Houston, TX",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Pareto Systems,"Stafford, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
Virtus Partners,"Houston, TX",201 to 500 employees,Company - Private,Investment Banking & Asset Management,Finance
Horne LLP,"Ridgeland, MS",501 to 1000 employees,Company - Private,Accounting,Accounting & Legal
LyondellBasell,"Houston, TX",10000+ employees,Company - Public,Chemical Manufacturing,Manufacturing
Houston-Galveston Area Council,"Houston, TX",51 to 200 employees,Government,Municipal Governments,Government
Crown Castle,"Houston, TX",1001 to 5000 employees,Company - Public,Telecommunications Services,Telecommunications
ICF,"Fairfax, VA",5001 to 10000 employees,Company - Public,Consulting,Business Services
"Avetta, LLC","Orem, UT",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Management Solutions,"Madrid, Spain",1001 to 5000 employees,Company - Private,Consulting,Business Services
April Health,"San Carlos, CA",1 to 50 employees,Company - Private,Health Care Services & Hospitals,Health Care
McLane Global,"Houston, TX",51 to 200 employees,Company - Private,Wholesale,Business Services
"Simplex info systems Inc,","Nashua, NH",1 to 50 employees,Company - Private,IT Services,Information Technology
Excite Health Partners,"Towson, MD",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
GeoDigital,"Atlanta, GA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Irvine Technology Corporation,"Irvine, CA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
Lonza,"Basel, Switzerland",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Harris County,"Houston, TX",5001 to 10000 employees,Government,Health Care Services & Hospitals,Health Care
GoExpedi,"Houston, TX",51 to 200 employees,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities"
S & R Professionals,"Houston, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
HealthHelp,"Houston, TX",201 to 500 employees,Subsidiary or Business Segment,Health Care Services & Hospitals,Health Care
Harris Health System,"Houston, TX",5001 to 10000 employees,Government,Health Care Services & Hospitals,Health Care
Natus Medical,"Pleasanton, CA",1001 to 5000 employees,Company - Public,Health Care Products Manufacturing,Manufacturing
CDM Smith,"Boston, MA",5001 to 10000 employees,Company - Private,Consulting,Business Services
Golder,"Palm Beach, FL",5001 to 10000 employees,Company - Private,Architectural & Engineering Services,Business Services
Tek Leaders,"Plano, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology
Wise Men Consultants,"Houston, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology
ESolutions Inc,"Overland Park, KS",201 to 500 employees,Company - Private,IT Services,Information Technology
CooperSurgical,"Trumbull, CT",201 to 500 employees,Subsidiary or Business Segment,Health Care Products Manufacturing,Manufacturing
Leidos,"Reston, VA",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
AspenTech,"Bedford, MA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
"Onica, a Rackspace Company","Los Angeles, CA",201 to 500 employees,Company - Private,IT Services,Information Technology
Luminess Cosmetics,"Stafford, TX",51 to 200 employees,Company - Private,Consumer Products Manufacturing,Manufacturing
Arthur Lawrence,"Upland, CA",201 to 500 employees,Company - Private,Consulting,Business Services
JPMorgan Chase & Co.,"New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
Randstad,"Atlanta, GA",1001 to 5000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
Rosen,"Stans, Switzerland",201 to 500 employees,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities"
Houston Methodist,"Houston, TX",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Kelsey-Seybold Medical Group,"Pearland, TX",1001 to 5000 employees,Private Practice / Firm,Health Care Services & Hospitals,Health Care
"Technet, LLC","Lynbrook, NY",1 to 50 employees,Company - Private,Consulting,Business Services
EAG Services,"Houston, TX",1 to 50 employees,Company - Private,Consulting,Business Services
"alliantgroup, LP","Houston, TX",501 to 1000 employees,Company - Private,Consulting,Business Services
UTHealth Houston,"Houston, TX",5001 to 10000 employees,College / University,Colleges & Universities,Education
Raba-Kistner,"San Antonio, TX",201 to 500 employees,Company - Private,Construction,"Construction, Repair & Maintenance"
Ascend Performance Materials,"Houston, TX",1001 to 5000 employees,Company - Private,Chemical Manufacturing,Manufacturing
Ayata,"Austin, TX",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
MD Anderson Cancer Center,"Houston, TX",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Sun and Ski Sports,"Houston, TX",501 to 1000 employees,Company - Private,Sporting Goods Stores,Retail
LyondellBasell Industries,"Houston, TX",10000+ employees,Company - Public,Chemical Manufacturing,Manufacturing
Weston Solutions Inc.,"West Chester, PA",1001 to 5000 employees,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities"
Kelsey Seybold Clinic,"Pearland, TX",1001 to 5000 employees,Private Practice / Firm,Health Care Services & Hospitals,Health Care
Virtus Partners LLC,"Houston, TX",201 to 500 employees,Company - Private,Investment Banking & Asset Management,Finance
Frontend Arts,"Irving, TX",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Hexagon PPM,"Stockholm, Sweden",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
Alliant Group,"Newport Beach, CA",501 to 1000 employees,Company - Private,Investment Banking & Asset Management,Finance
Mindteck US,"Bengaluru, India",1001 to 5000 employees,Company - Public,IT Services,Information Technology
Sunmerge Systems Inc,"Piscataway, NJ",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
"Alpha Net Consulting, LLC","Santa Clara, CA",201 to 500 employees,Company - Private,IT Services,Information Technology
PinnacleART,"Pasadena, TX",501 to 1000 employees,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities"
Kelsey-Seybold,"Pearland, TX",1001 to 5000 employees,Private Practice / Firm,Health Care Services & Hospitals,Health Care
Texas Transportation Institute,"College Station, TX",501 to 1000 employees,Government,Consulting,Business Services
Grant Thornton,"Chicago, IL",5001 to 10000 employees,Company - Private,Accounting,Accounting & Legal
Arcadis UK,"Amsterdam, Netherlands",1001 to 5000 employees,Company - Public,Construction,"Construction, Repair & Maintenance"
Itbrainiac,"Princeton, NJ",1 to 50 employees,Other Organization,IT Services,Information Technology
Talbridge Corporation,"Houston, TX",51 to 200 employees,Contract,Staffing & Outsourcing,Business Services
Crawford Thomas Recruiting,"Orlando, FL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
PREDICTif Solutions,"Houston, TX",5001 to 10000 employees,Company - Private,Accounting,Accounting & Legal
Servient,"Houston, TX",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Texas Dow Employees Credit Union,"Lake Jackson, TX",501 to 1000 employees,Nonprofit Organization,Banks & Credit Unions,Finance
Catalent Pharma,"Somerset, NJ",10000+ employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
American Institute of Aeronautics and Astronautics,"Reston, VA",51 to 200 employees,Nonprofit Organization,Membership Organizations,Business Services
The University of Texas Medical Branch,"Galveston, TX",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Crown Castle USA Inc,"Houston, TX",1001 to 5000 employees,Company - Public,Telecommunications Services,Telecommunications
